email,birthdate,education,state,mbti,interests,purchases,experience
eloa22@example.net,23/08/1982,graduate,SP,INFJ,architecture,,working
jose-pedro32@example.com,23/08/2000,highschool,SP,ISFP,data science,,unemployed
tbrito@example.com,05/09/1982,undergraduate,ES,ENTP,public relations|electrical engineering,,working
luara54@example.net,01/06/2001,incomplete,SP,ESTJ,political science|mechanical engineering,,working
estermoura@example.org,13/03/2003,incomplete,SP,INTP,medicine,,working on field of study
novaescaleb@example.net,22/05/2000,graduate,SP,ENTP,cybersecurity|business administration,,working on field of study
zmoura@example.org,21/09/1991,undergraduate,PR,INFJ,accounting,,unemployed
cardosolucas@example.net,13/01/2002,undergraduate,CE,INFP,cloud computing|biology|nutrition,,unemployed
qribeiro@example.net,18/10/1994,undergraduate,PR,ISFJ,civil engineering,,working
jribeiro@example.com,17/02/2000,highschool,SC,ISTJ,international relations,,working
siqueirahelena@example.com,04/02/1988,graduate,PR,ENFP,tourism|marketing,,working on field of study
usales@example.org,09/04/1997,highschool,MA,ENFJ,visual arts|web development|graphic design,,working
moraesluiz-otavio@example.net,01/07/1983,undergraduate,PA,ISTJ,marketing,,working
lara20@example.net,02/11/1995,highschool,SP,ESFP,mechanical engineering,,working
barbara18@example.net,19/11/1981,incomplete,SP,ENFJ,marketing|public relations,,unemployed
gustavofonseca@example.com,26/06/2006,incomplete,PA,ISTJ,mechanical engineering,,working
dante26@example.net,03/02/2008,incomplete,MG,ENTP,artificial intelligence|nursing|chemistry,FUVEST|Vestibular FATEC,unemployed
breno37@example.org,31/05/1988,graduate,GO,ESTP,performing arts|mechanical engineering,,working
qda-costa@example.org,29/11/1983,highschool,SP,ENFP,artificial intelligence|cybersecurity,,unemployed
danilo48@example.com,27/12/2000,undergraduate,RJ,INFJ,pharmacy|physical education|music,,working
carolina60@example.org,16/07/2004,incomplete,PR,INTP,performing arts|medicine|graphic design,,working
sampaiogiovanna@example.com,27/07/1985,incomplete,MA,ESFP,business administration,,working
xbarros@example.com,26/07/1987,undergraduate,CE,ISTJ,public relations|international relations|tourism,,researcher
gomesdanilo@example.org,12/09/2005,incomplete,RJ,INFP,journalism,,unemployed
acarvalho@example.net,11/04/1992,undergraduate,MG,ESTJ,public relations,,working
da-rosavitor@example.org,06/06/1998,graduate,AL,ISFP,philosophy|civil engineering,,working on field of study
rodriguesaugusto@example.org,21/05/1990,undergraduate,SE,ISTJ,finance,,working
henry-gabrielcasa-grande@example.org,26/03/1981,graduate,SC,ESTJ,dentistry|hospitality|chemistry,,working
rafaelamachado@example.org,05/11/1989,undergraduate,RJ,INFP,environmental science,,working
martinscalebe@example.com,20/01/1980,undergraduate,ES,INFP,accounting,,working
rmonteiro@example.org,20/06/2008,incomplete,MA,ESTJ,agriculture|political science|database management,,unemployed
luiza56@example.org,10/09/1993,incomplete,SP,INTJ,history|civil engineering,,unemployed
freitasleticia@example.org,19/01/1986,undergraduate,RR,INFP,linguistics,,working
wandrade@example.com,18/07/2001,incomplete,SP,ENFP,advertising|civil engineering|agriculture,,working
luanaalmeida@example.org,25/06/1991,highschool,PI,INFJ,physics|anthropology|psychology,,working on field of study
hda-cruz@example.org,24/06/1985,undergraduate,MG,ESFJ,tourism,,working
claricefreitas@example.com,09/04/1990,highschool,RJ,ESTP,visual arts|nutrition|sociology,,working
asafe15@example.net,15/05/1996,highschool,MG,ENTP,web development|advertising|cloud computing,,unemployed
esteralves@example.net,04/03/2000,highschool,MG,INTP,literature,,working on field of study
lrios@example.net,19/05/2007,incomplete,SP,INFJ,veterinary medicine,,working
maria-eduardaoliveira@example.org,02/12/1982,undergraduate,RS,INFP,performing arts,,working
maya46@example.com,24/03/1982,graduate,RJ,ENTP,cybersecurity,,researcher
lunnapastor@example.org,18/02/1987,graduate,RJ,ESTJ,public relations|biology|law,,working
luiz-otavio50@example.org,05/10/1981,undergraduate,SP,ISFP,journalism|mechanical engineering,,working on field of study
milenanovaes@example.net,06/03/1999,graduate,BA,ISFJ,pharmacy|nursing,,researcher
marcelo40@example.net,23/07/1983,graduate,RS,INTP,physical education,,working
mendoncahenrique@example.net,17/10/2006,incomplete,RJ,ENTP,visual arts|nursing|veterinary medicine,,unemployed
ycarvalho@example.org,05/10/1983,highschool,MT,ESFP,philosophy|veterinary medicine,,unemployed
nogueiragabriel@example.org,04/08/1986,undergraduate,TO,ESFP,advertising,,working on field of study
nascimentohelena@example.com,23/05/1983,graduate,PA,INFJ,artificial intelligence|accounting,,unemployed
pietro54@example.net,23/03/2005,incomplete,SP,ISTJ,economics|veterinary medicine,,working
da-cunhamathias@example.com,04/01/1994,highschool,MG,ESFP,business administration,,working
gael-henrique36@example.com,20/05/1988,graduate,RS,ENFP,history,,working
henrique53@example.com,17/03/1981,undergraduate,BA,ENTP,music|agriculture|public policy,,working
rodriguesenzo-gabriel@example.net,02/07/2005,incomplete,RJ,ISFP,education|chemistry,,working
kcaldeira@example.net,18/12/1990,undergraduate,SP,INTP,accounting|linguistics,,working on field of study
jade60@example.net,26/12/1999,highschool,MS,ESFJ,political science|anthropology,,unemployed
vicentedas-neves@example.org,02/12/1980,graduate,SP,INFP,machine learning|environmental science|dentistry,,working on field of study
mendoncaluiza@example.org,18/02/1980,highschool,DF,ENFJ,linguistics,,unemployed
da-pazmelissa@example.net,03/11/1997,undergraduate,GO,INFJ,business administration,,working
vinicius26@example.com,05/09/2003,incomplete,MA,INFJ,veterinary medicine|tourism|advertising,,working
lcosta@example.com,22/04/2002,highschool,SP,ENTP,journalism,,working
araujoisis@example.net,13/05/1998,undergraduate,SP,INFP,electrical engineering|physical education|law,,working
ribeiromurilo@example.org,10/05/1999,graduate,SC,ESFJ,education,,working
da-luzmaria-laura@example.org,15/08/1982,undergraduate,SE,INFP,tourism|international relations|architecture,,researcher
calebesiqueira@example.org,09/07/2000,undergraduate,ES,ESFP,performing arts|medicine|linguistics,,working
jcamargo@example.net,28/07/1983,undergraduate,RJ,ESFJ,public relations|law|accounting,,working on field of study
clara22@example.com,29/11/1986,undergraduate,SE,ISTJ,architecture,,working on field of study
rodriguestheo@example.com,18/02/2007,incomplete,SP,INFP,philosophy|pharmacy,,unemployed
sampaioesther@example.com,25/07/2002,highschool,SP,INTJ,psychology|machine learning,,unemployed
davi-lucca25@example.net,15/10/1986,undergraduate,RS,ENFP,nutrition|education|artificial intelligence,,working
fonsecaandre@example.org,18/11/2004,incomplete,SP,ESTJ,tourism,,working
da-pazjoao-pedro@example.net,08/08/1987,graduate,SC,ENTP,nutrition,,researcher
ferreirayan@example.net,27/08/1982,graduate,RJ,ENTP,public relations,,researcher
scamargo@example.net,07/12/1988,graduate,PA,ESFJ,advertising|sports science|public relations,,working on field of study
laparecida@example.com,23/03/1989,graduate,PR,ISTP,business administration|medicine|veterinary medicine,,researcher
bento97@example.org,20/12/1984,undergraduate,SP,ISFP,marketing,,working
das-nevesana-carolina@example.net,20/12/1986,graduate,GO,ISFJ,nutrition|accounting|literature,,researcher
samuel49@example.org,01/02/2008,incomplete,PR,ENFJ,hospitality|nutrition|visual arts,,unemployed
vda-conceicao@example.com,18/03/1999,graduate,SP,ISTJ,architecture,,working
ravy67@example.org,15/02/2001,incomplete,PR,INFJ,psychology,Vestibular UNICAMP,working
ana-luizavargas@example.com,04/03/1980,undergraduate,PR,ISFJ,pharmacy,,working on field of study
maria-sophiacostela@example.org,23/01/1988,undergraduate,BA,INTJ,business administration|agriculture|psychology,,working on field of study
guilhermesouza@example.org,04/12/1984,graduate,SP,ENTP,music|artificial intelligence|physics,,working
silvaluiz-otavio@example.com,14/07/1995,undergraduate,MG,ISTJ,marketing|cybersecurity|anthropology,,working
jose-miguel36@example.com,28/07/2008,incomplete,SP,ISTP,literature|visual arts|web development,,unemployed
tda-rosa@example.org,15/11/1987,highschool,SP,INFP,machine learning|history|architecture,Vestibular UNICAMP,working
santosana-carolina@example.com,15/11/1988,graduate,SP,INFJ,anthropology|medicine|physical education,,working on field of study
clarapereira@example.com,10/12/1985,undergraduate,SC,ISFJ,business administration|cybersecurity|software engineering,,unemployed
felipe54@example.net,15/09/1998,undergraduate,SP,INFJ,environmental science|public policy|political science,,working on field of study
marquesravi@example.com,26/02/1996,highschool,RR,INFJ,hospitality,,working
vieirahellena@example.com,23/04/1983,undergraduate,SP,ESTJ,agriculture|cybersecurity|performing arts,,working on field of study
cirinomaria-flor@example.com,22/09/1985,undergraduate,RJ,INTJ,law,,unemployed
wdias@example.com,09/02/1986,highschool,PA,ESFP,nutrition|law,,working
jalmeida@example.com,15/04/2003,incomplete,PE,ISTP,physics,,unemployed
matheus17@example.net,22/01/1986,undergraduate,SP,ESTP,physics,,working
caiocastro@example.com,03/04/1987,graduate,RS,ENFP,public policy|journalism|machine learning,,working
maria-flor50@example.net,27/07/1994,undergraduate,BA,ENFP,cybersecurity|anthropology|tourism,,working on field of study
andradefelipe@example.net,15/02/1989,graduate,RS,ESTJ,advertising,,researcher
ana-carolinanogueira@example.net,02/01/2006,incomplete,DF,ENTP,journalism,,working
wda-mata@example.com,06/04/1995,graduate,PE,ENTP,marketing,,working
arthur-gabriel43@example.net,04/10/1999,undergraduate,PE,ESTJ,business administration|veterinary medicine|artificial intelligence,,researcher
wribeiro@example.org,18/12/2001,incomplete,RS,ESTP,advertising|business administration|nutrition,,working
bianca65@example.org,08/06/1997,highschool,MG,ENTJ,business administration|marketing|cybersecurity,,working
pietroda-luz@example.com,03/04/1999,highschool,CE,ESTJ,agriculture,,working
mendespaulo@example.org,06/08/1995,undergraduate,BA,ISTP,business administration,,working
nicolasgarcia@example.com,27/02/1984,graduate,MG,ESTJ,chemistry|cybersecurity,,working
camaramurilo@example.net,25/08/2001,incomplete,SP,INTJ,tourism|public relations,,working
olivia39@example.com,18/02/2001,incomplete,SP,INTP,tourism|artificial intelligence,,working
henry-gabrielribeiro@example.net,12/03/1990,undergraduate,BA,ESTJ,performing arts,,unemployed
maria-laurada-mata@example.com,29/07/2007,incomplete,RJ,INTJ,veterinary medicine|data science|hospitality,,working on field of study
esteralmeida@example.org,24/05/1998,undergraduate,PA,INFJ,data science,,working
luisa85@example.org,09/07/2004,incomplete,SP,ENTJ,chemistry|tourism|web development,,unemployed
anthony-gabriel25@example.org,10/12/1990,graduate,SE,ENFP,data science|hospitality,,researcher
mnogueira@example.org,27/02/1981,undergraduate,CE,ISTP,chemistry|international relations|political science,,researcher
vgomes@example.com,24/01/1980,graduate,MG,ESTJ,sociology,,researcher
lcardoso@example.net,14/08/1986,undergraduate,MG,ESFJ,journalism,,working on field of study
ribeirolivia@example.com,08/03/2005,incomplete,RJ,ESTJ,civil engineering|environmental science,,researcher
udias@example.org,13/10/2001,incomplete,PE,INTP,web development|mathematics|cybersecurity,,working
joao16@example.com,04/05/1989,graduate,PR,ENFP,international relations,,researcher
agathacamargo@example.com,05/03/1986,highschool,RJ,ISTJ,anthropology|chemistry|cybersecurity,,working
felipecassiano@example.org,19/01/2000,undergraduate,CE,ENTP,nursing,,working on field of study
gomeslarissa@example.org,21/11/2004,incomplete,DF,ISTJ,literature|database management,,working
imartins@example.org,26/02/2007,incomplete,CE,INFJ,visual arts,,researcher
franciscosilva@example.com,15/06/1981,undergraduate,RS,ENFP,economics|agriculture,,working
maria-helena80@example.net,26/01/1997,graduate,SP,ISTJ,data science|physical education|nursing,,working on field of study
saryan@example.net,06/03/1992,graduate,PR,ESFP,education|international relations,,researcher
kevincassiano@example.org,06/06/1992,undergraduate,SP,ESFP,business administration|law|architecture,POSCOMP,unemployed
zbarros@example.com,25/03/1983,graduate,BA,INTP,philosophy,,researcher
novaesmurilo@example.org,11/02/2008,incomplete,MT,ESTJ,music,,unemployed
yasminribeiro@example.net,07/06/1982,graduate,SP,INTP,business administration|visual arts,,working on field of study
avieira@example.net,31/12/1998,graduate,SP,ENTP,sports science|biology,POSCOMP,researcher
beniciovasconcelos@example.com,20/12/1982,undergraduate,PE,ESTP,data science,,working on field of study
ksousa@example.com,16/05/2002,incomplete,BA,ENFP,web development|environmental science|pharmacy,ANPEC,researcher
vrocha@example.com,24/01/2000,undergraduate,RJ,ENTP,mathematics,,working
matteoviana@example.net,29/09/1992,graduate,AM,ENTP,machine learning,,working on field of study
lorenzoda-paz@example.com,10/01/2007,incomplete,RS,ISFJ,civil engineering,,unemployed
qda-mata@example.net,22/05/1998,graduate,ES,ENFJ,anthropology|journalism|data science,,working
yago89@example.com,29/05/2000,graduate,SP,INFP,nursing,,researcher
francisco13@example.org,14/09/1997,graduate,SP,ENTP,journalism|data science|business administration,,working
wcorreia@example.org,14/02/1991,graduate,SP,ENFJ,cloud computing|performing arts|hospitality,,working on field of study
fernandosilva@example.net,19/04/2002,incomplete,SC,ENFJ,public policy|linguistics|civil engineering,FUVEST,unemployed
almeidarafael@example.net,25/05/2004,incomplete,SP,ENTP,law|web development|electrical engineering,,working
luigiaragao@example.org,19/12/2006,incomplete,RJ,ISFJ,sports science|accounting,,working
hmarques@example.net,31/05/1998,graduate,AM,ENFJ,mechanical engineering,,unemployed
pimentamanuella@example.com,12/11/1980,undergraduate,RJ,ISTJ,environmental science|agriculture,,working
ramosmaria-luisa@example.net,27/10/2004,incomplete,BA,ISFP,public relations|physics,,working
larissa63@example.org,14/10/2005,incomplete,TO,ESFP,mathematics,,working
xrodrigues@example.net,21/03/1996,highschool,RJ,ENFP,advertising,,working
marinamendes@example.org,05/09/1982,undergraduate,PE,INFP,cybersecurity|architecture|database management,,researcher
pereiraolivia@example.com,05/10/1984,undergraduate,MG,ISFJ,psychology,,working
benicio52@example.net,17/10/2006,incomplete,SP,INFP,visual arts|artificial intelligence|sports science,,unemployed
nda-cunha@example.net,28/12/2001,highschool,MG,INFJ,mathematics,,working
luna16@example.com,22/07/1993,undergraduate,BA,ENTJ,mathematics,,working
luigi06@example.net,15/07/1998,highschool,PB,ESTP,civil engineering|accounting|sociology,,unemployed
ribeiroluiz-gustavo@example.com,01/03/1980,undergraduate,SC,ESTJ,civil engineering,,working
milenagomes@example.net,13/03/2007,incomplete,RJ,ESTJ,public policy|web development|architecture,,working
helenapacheco@example.net,07/07/1988,highschool,SP,ENTJ,cybersecurity|veterinary medicine|marketing,,unemployed
npacheco@example.org,11/02/1985,highschool,ES,ESTJ,marketing|mechanical engineering|psychology,,working
bpimenta@example.com,16/12/1994,undergraduate,SP,INFJ,psychology,,working
mendoncavinicius@example.net,25/06/1988,undergraduate,BA,INTJ,public policy|history,,working
oliveiraheitor@example.net,10/11/1996,graduate,SC,ISTP,mathematics|public relations|web development,,working
gustavo-henrique86@example.org,14/12/1995,undergraduate,SP,INFJ,advertising|physics|political science,,working on field of study
enzoporto@example.com,05/08/2007,incomplete,RS,ESTP,performing arts,,working
da-motaagatha@example.net,01/09/1991,highschool,RJ,ESTP,business administration,,working
vianacamila@example.net,19/10/1993,undergraduate,CE,INFJ,linguistics|mathematics|architecture,POSCOMP,researcher
rmelo@example.com,04/04/1986,incomplete,RS,ESFP,education|mechanical engineering,,working
carolina36@example.org,27/02/1998,undergraduate,RJ,INTJ,public policy,,working on field of study
sousarodrigo@example.com,15/04/1997,highschool,SP,INTP,agriculture,,working
nascimentomatheus@example.net,19/03/2008,incomplete,SC,ESFJ,civil engineering|cybersecurity|mechanical engineering,,unemployed
raelcosta@example.com,11/11/2005,incomplete,SC,ISTP,veterinary medicine|business administration|web development,,working on field of study
ribeiroemanuella@example.com,10/01/1983,undergraduate,SC,INFJ,web development,,working
nicolas99@example.org,31/07/1993,highschool,PR,ISTP,agriculture|music,Vestibular FATEC,working
ucaldeira@example.net,18/09/1988,undergraduate,SP,INTJ,music,,unemployed
gmoraes@example.com,25/08/1991,graduate,SE,INTJ,public relations,,working on field of study
sampaioheitor@example.org,29/10/1993,undergraduate,SP,ESTP,business administration,ANPEC|POSCOMP,researcher
mendesvinicius@example.net,27/03/2004,incomplete,PR,ESFP,education|anthropology|civil engineering,,unemployed
caldeiraana-laura@example.com,30/12/2008,incomplete,SC,INTJ,machine learning|artificial intelligence|literature,,unemployed
cbarbosa@example.net,08/10/2008,incomplete,SP,ENFP,journalism|web development,,unemployed
yasmin29@example.org,15/08/1988,undergraduate,SP,INTP,hospitality|law,,working
isabelaazevedo@example.net,29/02/2008,incomplete,SP,ISFP,journalism,,unemployed
rafaela78@example.org,08/01/1989,highschool,PA,ESFJ,journalism,,working
gael30@example.org,03/02/1993,highschool,PR,ISTJ,performing arts|civil engineering,,working
laravasconcelos@example.com,06/05/1983,undergraduate,BA,ESFJ,public policy,,unemployed
isabelrezende@example.com,18/10/2008,incomplete,SP,ESFJ,public policy|nursing|chemistry,,unemployed
xmachado@example.com,14/10/1999,highschool,RS,ESTJ,law,ENEM|Vestibular UNICAMP,unemployed
noah36@example.com,26/07/1991,graduate,SP,INFJ,web development,,working on field of study
fernandorodrigues@example.org,15/11/1980,undergraduate,SP,ENTP,pharmacy,,working
usantos@example.com,11/09/1983,graduate,MG,ISFJ,cybersecurity,,working on field of study
sampaiobernardo@example.org,26/01/1988,undergraduate,SC,ISTP,graphic design|finance,,working on field of study
kramos@example.com,15/01/1997,highschool,SP,ENFJ,medicine|mechanical engineering,,working
vda-conceicao@example.net,08/07/1997,undergraduate,RJ,ENTJ,journalism,,working
joao-guilherme87@example.net,27/05/1982,highschool,SP,ESTP,civil engineering|advertising|pharmacy,,working
gmoreira@example.org,07/08/1982,undergraduate,CE,INTJ,advertising,,working on field of study
ayllapastor@example.com,18/09/1993,undergraduate,PA,ISTP,software engineering,,working
moraescarlos-eduardo@example.net,04/04/1990,undergraduate,AC,ESFP,marketing,,researcher
augustocunha@example.com,21/02/1983,highschool,SP,ISFJ,cloud computing|performing arts,,researcher
arthur22@example.org,14/01/1981,undergraduate,SP,ISFP,business administration|public relations|nutrition,,unemployed
asafe18@example.org,18/10/2007,incomplete,SP,ISFP,history,,unemployed
macedoester@example.org,06/11/1990,undergraduate,RS,ESTJ,database management,,working
ana-clara71@example.org,01/08/2001,incomplete,RS,ESTJ,psychology|electrical engineering|medicine,ANPEC,unemployed
guilherme38@example.com,05/10/1991,graduate,AC,INFP,business administration|software engineering,,working
cirinojoao-pedro@example.net,22/02/2002,incomplete,SP,ENFJ,education,,working
beatrizabreu@example.org,05/07/2005,incomplete,MG,INFJ,physical education,,unemployed
da-luzemanuelly@example.com,04/06/1999,highschool,PR,INFJ,veterinary medicine,,working
znovaes@example.net,29/01/1986,graduate,MA,INTJ,political science|physics,,working
otto03@example.com,19/02/1986,undergraduate,PE,INTP,veterinary medicine,,researcher
silvacecilia@example.net,02/04/1992,graduate,AP,INTJ,database management|nutrition|environmental science,,working
jade47@example.org,05/07/2005,incomplete,SC,INFP,civil engineering|physics,,working
nbrito@example.org,22/06/1990,incomplete,MG,ISTJ,pharmacy|public policy,,researcher
crezende@example.net,19/07/1987,undergraduate,BA,INFJ,anthropology|international relations|law,,working on field of study
mayaaraujo@example.net,17/09/2007,incomplete,SP,ISTP,music|machine learning|visual arts,,unemployed
gomesdiogo@example.org,08/06/1994,graduate,MG,ESTP,marketing|mechanical engineering|database management,,working on field of study
lavinia30@example.org,15/10/1991,incomplete,SP,ENTP,chemistry,,unemployed
sampaiodavi-luiz@example.net,15/08/2003,incomplete,PI,ISTP,economics|dentistry,,working
wfonseca@example.net,22/03/2007,incomplete,SP,INFJ,graphic design|public policy,,unemployed
melinacampos@example.com,24/02/1981,graduate,BA,INTJ,nursing|literature|marketing,,working
joao-guilherme05@example.com,23/04/2001,incomplete,MA,ENTJ,journalism|international relations,,working
maria-vitoriagoncalves@example.org,13/11/1991,undergraduate,MG,INTP,chemistry,,unemployed
da-pazjoao-vitor@example.com,06/05/2000,graduate,CE,INFJ,electrical engineering|chemistry,,working
lauraaparecida@example.net,09/07/1986,undergraduate,SP,ENFJ,business administration,ANPEC,working
qpires@example.net,03/05/1986,undergraduate,PA,ESTJ,physics|database management|data science,,working on field of study
vargasjuliana@example.net,08/02/1992,highschool,PA,INTP,performing arts,,working
zdias@example.org,06/12/1993,graduate,SP,ESFP,marketing|political science|journalism,,working on field of study
alveslucas-gabriel@example.org,05/04/1996,graduate,PA,INTJ,web development|artificial intelligence,POSCOMP,working
leticiaalbuquerque@example.org,19/05/1983,graduate,SP,ESFP,civil engineering|literature|electrical engineering,,working on field of study
hda-paz@example.org,04/07/2007,incomplete,BA,ESTJ,dentistry|music|business administration,,working
vasconcelosluiza@example.net,10/06/1991,graduate,RJ,INTJ,journalism,,researcher
vitorpinto@example.com,05/07/1995,undergraduate,PA,ESFP,performing arts|visual arts,,working on field of study
esther35@example.net,22/10/2007,incomplete,GO,ESFP,mechanical engineering,,unemployed
joao-guilherme42@example.com,06/11/1995,graduate,SP,ISFJ,law,,working on field of study
bryan68@example.net,21/01/1998,graduate,BA,ISFJ,psychology|hospitality|database management,,working
portoelisa@example.org,25/04/1995,undergraduate,RS,ESTP,marketing,,working
caioda-rocha@example.net,01/05/1997,graduate,SP,INTJ,environmental science|physics|visual arts,,researcher
vfogaca@example.com,07/01/1986,undergraduate,MT,INFP,electrical engineering,,researcher
caroline13@example.com,23/08/2008,incomplete,RS,ENFJ,environmental science,,unemployed
ravimarques@example.com,26/12/1983,undergraduate,BA,INFP,tourism,,working
rvargas@example.net,15/09/2005,incomplete,RO,INTP,nutrition,,working
enrico88@example.com,26/06/1982,graduate,GO,ESFP,performing arts,,working
emanuellyalves@example.net,30/01/1995,undergraduate,MG,ISFP,political science|anthropology,,working
luarada-mota@example.org,27/08/1980,undergraduate,PE,INTP,web development,,working
davi-miguel25@example.net,08/01/1987,graduate,ES,ESFP,medicine|nutrition,,working on field of study
marquesisabella@example.com,28/05/1995,graduate,SP,ENTP,chemistry|cloud computing,,working
wguerra@example.com,10/05/1981,undergraduate,RJ,INFJ,music|data science|biology,,working on field of study
monteiroluna@example.net,06/03/2006,incomplete,CE,ESTJ,business administration|environmental science,,working
guerraeloah@example.org,09/03/2005,incomplete,SP,ISFP,economics,,working
benjamimandrade@example.org,23/06/1992,graduate,SP,ESFJ,journalism|graphic design|international relations,,working on field of study
yasminporto@example.com,27/02/1989,graduate,SE,ISFP,pharmacy,,working
oliveiravicente@example.net,16/10/2006,incomplete,MG,INFJ,performing arts|nutrition|artificial intelligence,,working
wcavalcanti@example.org,30/12/1998,graduate,DF,ENFJ,advertising|environmental science|civil engineering,,researcher
ravi-lucca67@example.com,08/05/1984,graduate,MG,ESTJ,environmental science|law|finance,,working on field of study
liviamoreira@example.net,18/03/1983,undergraduate,PR,INTP,journalism,,working
melinaferreira@example.org,23/02/1990,graduate,RS,ISFJ,sociology|political science|physics,,working
cardosoolivia@example.org,24/01/1986,undergraduate,PA,ISFP,literature|economics,,working on field of study
moreiramaria@example.com,20/09/1992,graduate,CE,ESTP,education|sociology,,researcher
moraesmariana@example.org,26/02/1998,undergraduate,ES,INTJ,sociology,,working
duartefernanda@example.com,08/11/1996,undergraduate,SE,INFJ,international relations|physics|anthropology,,working on field of study
das-nevesmurilo@example.org,20/04/1990,graduate,RS,INFP,music|sports science|chemistry,,working on field of study
ana-laurada-mota@example.org,29/05/1987,undergraduate,SP,ISFP,cloud computing|linguistics,,working on field of study
gdias@example.com,27/10/2003,incomplete,PE,ISFP,psychology,,working
pietra63@example.com,22/05/1980,undergraduate,RJ,ESFP,business administration|psychology,,working
nunesmaria-clara@example.net,30/08/1995,undergraduate,RJ,ISTJ,political science|psychology|dentistry,,researcher
moraesgustavo@example.com,25/07/1986,highschool,MT,INTJ,hospitality|political science|marketing,ANPEC,unemployed
nviana@example.com,26/12/1986,undergraduate,SP,ESTJ,business administration|economics|hospitality,,working on field of study
pereiraisabel@example.net,13/01/1999,highschool,SP,INFP,database management|accounting|medicine,,unemployed
sophia71@example.net,15/12/2007,incomplete,GO,ISTP,business administration,,unemployed
vitor-hugofernandes@example.com,20/08/1980,undergraduate,CE,ESTP,agriculture,,working
maria-isisbarbosa@example.net,08/01/1998,graduate,AP,ISTJ,machine learning|graphic design,,working on field of study
jose90@example.com,27/07/2002,undergraduate,SP,ESFP,artificial intelligence|performing arts,,researcher
maria-luisateixeira@example.org,16/07/1982,undergraduate,SP,INFP,dentistry|performing arts|veterinary medicine,,working on field of study
fernandapastor@example.net,21/02/2008,incomplete,SP,ESTJ,political science|sports science|visual arts,,unemployed
marcela76@example.org,26/11/1993,graduate,SP,ISTP,cybersecurity,,working
gabriel04@example.org,11/07/2004,incomplete,RJ,ESFP,tourism,,working
joanacaldeira@example.com,17/04/1999,graduate,MA,ESFP,business administration|physical education|visual arts,,working
rodrigopinto@example.com,27/11/1990,undergraduate,RS,ENFP,public relations|hospitality|graphic design,,unemployed
guilhermeda-paz@example.net,05/11/1995,undergraduate,MG,INFJ,psychology|philosophy|artificial intelligence,ANPEC,working
joana84@example.org,05/08/1981,undergraduate,MG,INFJ,nursing|graphic design|literature,,working
fgarcia@example.net,04/10/1989,undergraduate,MG,ISFP,cloud computing,,working
ana-clarabrito@example.org,26/07/1992,graduate,SP,ESTJ,public policy|hospitality|education,,working on field of study
josemelo@example.net,23/03/1993,undergraduate,PE,INTJ,cloud computing|music,,working on field of study
lopesrafaela@example.net,28/05/1991,graduate,SP,ESTP,journalism|biology|advertising,,researcher
bvieira@example.net,11/05/2002,incomplete,PE,ESFP,performing arts|advertising|sports science,,unemployed
wmoraes@example.net,26/07/1983,undergraduate,RS,INFJ,civil engineering,,working
jsampaio@example.net,31/05/1995,graduate,SP,ENTJ,philosophy|software engineering|law,,working
clara60@example.org,04/09/1998,undergraduate,CE,ENFP,education,,working on field of study
emanuellypimenta@example.org,03/04/1984,graduate,PR,INTJ,education|biology|physics,,working
ceciliafonseca@example.com,03/11/1984,graduate,BA,ENTJ,database management,,working
