ip,date,email,route,scroll_pct,time_spent,referrer,device
200.106.162.152,27/06/2025,,/vestibular/ENEM,45.23,241,ig,mobile
8.8.225.191,02/07/2025,,/,93.93,107,safari,mobile
177.236.19.53,23/07/2025,,/vestibular/ENEM,61.53,154,share,mobile
8.8.237.191,04/05/2025,,/,91.06,205,firefox,mobile
1.1.50.231,04/02/2025,,/instituicoes,37.42,156,safari,mobile
189.191.151.253,20/07/2025,,/vestibular/ENEM,32.68,130,firefox,tablet
8.8.65.25,11/07/2025,r.alves@ig.com.br,/cursos,29.38,192,safari,vr
189.168.180.238,08/02/2025,,/quiz,29.08,259,chrome,tablet
177.169.122.161,21/11/2027,b.rodrigues@usp.br,/instituicoes,2.33,214,safari,tablet
189.13.95.28,18/09/2025,,/vestibular/FATEC,84.42,143,share,tablet
200.202.205.100,11/06/2026,r.gomes@terra.com.br,/vestibular/UNICAMP,40.74,142,safari,mobile
189.57.124.55,11/10/2026,b.silva@bol.com.br,/,92.79,224,safari,tablet
189.169.0.150,30/11/2027,lucas.oliveira52@ig.com.br,/cursos,36.48,212,safari,desktop
1.1.227.9,01/05/2027,m.gomes@uol.com.br,/vestibular/ENEM,99.22,94,chrome,tablet
200.151.176.65,29/01/2026,lucas.lima45@edu.br,/instituicoes,30.04,160,chrome,tablet
177.30.171.185,02/04/2026,carlos.silva94@hotmail.com,/vestibular/ENEM,42.26,203,chrome,desktop
189.196.254.157,16/03/2027,pedro.alves36@usp.br,/quiz,67.7,149,opera,desktop
189.23.175.36,04/02/2026,,/instituicoes,57.66,134,chrome,desktop
8.8.101.234,27/09/2025,analima@bol.com.br,/cursos,36.23,82,safari,desktop
8.8.250.23,08/03/2026,,/cursos,75.89,186,chrome,mobile
177.28.20.8,07/05/2025,,/instituicoes,7.18,217,firefox,desktop
8.8.28.45,03/03/2027,,/instituicoes,54.79,135,firefox,mobile
8.8.45.41,20/12/2026,,/cursos,94.96,288,chrome,mobile
1.1.117.164,10/10/2025,,/instituicoes,15.03,259,safari,mobile
177.253.57.31,24/10/2025,,/,58.93,202,firefox,vr
177.146.14.218,15/10/2025,,/vestibular/FATEC,64.12,192,firefox,tablet
1.1.240.193,27/04/2026,beatriz.pereira@globo.com,/instituicoes,28.68,177,brave,tablet
177.251.111.154,12/01/2026,lucas.rodrigues75@usp.br,/vestibular/FUVEST,88.18,145,chrome,tablet
200.169.112.165,11/05/2025,,/cursos,38.15,156,safari,mobile
8.8.82.224,24/09/2027,,/,79.04,119,x,desktop
189.134.125.109,09/08/2025,,/cursos,16.13,90,chrome,mobile
8.8.214.186,05/05/2026,joao.pereira@usp.br,/quiz,38.29,295,chrome,desktop
189.165.247.254,02/01/2027,rafael.lima@icloud.com,/instituicoes,44.13,231,ig,mobile
1.1.77.209,16/06/2025,,/quiz,7.47,233,chrome,mobile
200.227.223.205,23/02/2025,,/cursos,41.21,197,share,mobile
200.174.59.106,08/03/2026,,/,39.0,63,chrome,desktop
1.1.154.19,01/07/2027,r.rodrigues@ig.com.br,/quiz,20.64,162,safari,desktop
1.1.229.185,11/04/2025,,/quiz,35.1,146,chrome,desktop
200.100.27.224,10/09/2026,,/instituicoes,70.77,205,safari,mobile
177.56.222.39,19/07/2026,,/instituicoes,77.55,164,safari,mobile
189.207.8.213,14/09/2026,b.rodrigues@uol.com.br,/vestibular/ENEM,64.65,111,safari,tv
8.8.250.169,03/07/2027,,/vestibular/UNICAMP,44.59,127,firefox,mobile
189.40.40.149,30/04/2026,,/quiz,41.59,216,chrome,desktop
200.248.164.67,18/03/2027,,/,18.31,202,chrome,tv
189.150.237.7,27/05/2027,,/vestibular/ENEM,99.27,283,firefox,desktop
177.63.114.169,27/09/2025,carlos.silva95@edu.br,/instituicoes,73.87,303,firefox,tablet
1.1.247.138,18/09/2026,,/,63.22,50,chrome,desktop
1.1.41.126,27/01/2027,,/vestibular/FUVEST,75.84,187,chrome,tablet
8.8.48.60,14/06/2026,pedro.lima81@outlook.com,/vestibular/FUVEST,96.41,187,safari,mobile
189.209.143.175,16/03/2027,,/,77.76,172,chrome,mobile
8.8.13.62,19/11/2026,j.santos@protonmail.com,/,82.0,99,safari,desktop
200.228.2.96,24/08/2027,,/,88.51,206,firefox,mobile
1.1.7.164,03/04/2027,,/vestibular/ENEM,22.52,224,chrome,desktop
200.165.12.65,26/03/2026,carlos.souza@edu.br,/,62.4,178,safari,desktop
200.206.118.34,15/06/2027,,/instituicoes,19.09,133,firefox,mobile
1.1.171.208,31/07/2025,,/instituicoes,29.77,111,chrome,desktop
177.51.241.73,21/02/2026,,/vestibular/ENEM,76.9,235,lp,mobile
200.121.58.217,30/03/2026,,/vestibular/ENEM,71.07,113,firefox,mobile
8.8.241.184,20/02/2025,m.pereira@gmail.com,/vestibular/UNICAMP,41.98,66,brave,desktop
8.8.154.148,09/12/2026,,/vestibular/FUVEST,9.71,178,opera,mobile
177.70.32.87,20/03/2025,,/,52.31,116,safari,desktop
1.1.54.60,28/07/2025,,/vestibular/FUVEST,53.73,126,chrome,tablet
8.8.230.134,30/06/2025,maria.pereira90@edu.br,/cursos,32.19,219,opera,desktop
8.8.71.137,23/04/2025,p.ferreira@protonmail.com,/,48.05,167,safari,desktop
177.198.186.231,26/07/2027,,/quiz,55.5,197,duckduckgo,mobile
189.31.147.214,28/10/2027,,/vestibular/ENEM,80.46,198,firefox,desktop
189.2.112.238,06/11/2025,,/,83.46,238,chrome,mobile
177.245.7.167,21/01/2026,c.lima@globo.com,/instituicoes,94.33,223,safari,desktop
1.1.234.137,31/10/2027,,/vestibular/FUVEST,76.79,132,chrome,mobile
189.208.238.66,20/11/2025,,/vestibular/ENEM,87.47,229,chrome,mobile
177.206.181.231,30/09/2027,,/vestibular/FUVEST,32.69,328,chrome,tablet
189.126.210.172,11/06/2027,,/cursos,50.27,262,firefox,mobile
8.8.162.106,16/10/2027,,/,33.28,305,chrome,tv
8.8.184.79,26/09/2025,,/instituicoes,58.89,256,share,desktop
200.82.54.30,05/09/2026,,/,38.54,132,chrome,mobile
1.1.74.229,08/11/2027,juliaalves@protonmail.com,/,76.91,191,x,tablet
189.207.113.149,05/05/2025,,/cursos,45.92,75,linkedin,mobile
200.7.219.21,25/08/2025,,/cursos,18.66,120,firefox,desktop
189.135.61.140,12/07/2026,beatriz.lima@icloud.com,/quiz,67.4,223,x,desktop
200.78.86.31,13/10/2027,,/quiz,22.2,211,chrome,desktop
8.8.43.106,20/04/2026,,/vestibular/ENEM,96.09,48,lp,mobile
1.1.171.173,28/06/2027,p.lima@outlook.com,/,86.37,108,safari,mobile
200.204.58.97,24/04/2026,,/vestibular/ENEM,89.21,130,chrome,mobile
1.1.152.18,29/11/2025,,/vestibular/ENEM,38.11,214,safari,mobile
8.8.80.27,02/02/2026,,/vestibular/FATEC,92.01,165,chrome,desktop
1.1.238.142,10/12/2026,,/,18.04,154,share,mobile
177.215.144.173,21/06/2027,m.oliveira@uol.com.br,/cursos,22.97,65,safari,desktop
177.45.14.41,21/03/2026,,/instituicoes,80.08,196,firefox,mobile
200.3.254.216,24/03/2027,,/vestibular/FATEC,35.17,181,chrome,tv
200.143.126.89,17/04/2025,,/,69.74,191,chrome,desktop
200.153.9.152,02/05/2026,,/quiz,7.44,233,opera,tablet
200.141.140.113,22/09/2025,julia.rodrigues69@gmail.com,/,63.22,251,safari,tablet
200.49.52.25,18/07/2025,,/cursos,55.1,220,chrome,desktop
8.8.235.127,28/10/2027,,/vestibular/FUVEST,77.34,184,tiktok,desktop
1.1.227.127,30/01/2026,pedro.gomes@yahoo.com,/,96.12,240,opera,desktop
8.8.42.18,05/05/2027,,/vestibular/ENEM,47.01,212,share,tv
177.182.133.35,05/01/2027,larissagomes@protonmail.com,/,47.46,145,opera,tablet
177.139.93.191,14/08/2025,,/cursos,53.9,196,safari,mobile
1.1.102.217,01/08/2026,,/cursos,63.72,132,opera,desktop
1.1.54.192,26/02/2026,,/quiz,93.06,159,duckduckgo,mobile
189.180.247.153,07/02/2026,,/vestibular/FUVEST,94.27,99,firefox,desktop
200.43.198.166,25/07/2025,,/,22.97,111,firefox,mobile
1.1.118.6,01/11/2027,beatriz.ferreira@terra.com.br,/quiz,4.61,169,safari,desktop
189.239.5.174,03/04/2025,,/vestibular/FUVEST,50.57,142,safari,mobile
189.111.16.114,15/08/2027,,/instituicoes,24.76,133,duckduckgo,mobile
177.100.198.180,18/01/2026,joaosantos@live.com,/vestibular/FATEC,82.74,119,safari,desktop
189.34.241.58,16/07/2025,,/quiz,32.49,160,firefox,mobile
189.178.96.132,21/10/2027,,/cursos,26.53,96,opera,vr
1.1.20.63,18/02/2026,maria.gomes52@ig.com.br,/cursos,34.92,180,brave,desktop
8.8.117.230,05/09/2025,,/vestibular/FATEC,22.36,109,share,mobile
200.55.215.85,10/10/2027,r.pereira@usp.br,/,94.33,252,safari,mobile
8.8.246.58,28/03/2025,,/,7.99,226,share,desktop
1.1.127.85,08/10/2025,,/vestibular/FUVEST,75.56,221,firefox,mobile
8.8.248.35,01/02/2027,,/instituicoes,6.09,75,chrome,desktop
200.185.80.160,05/02/2026,,/cursos,53.66,130,chrome,mobile
8.8.123.98,25/07/2026,,/vestibular/ENEM,69.36,167,tiktok,vr
189.169.62.87,13/04/2027,mariasouza@terra.com.br,/quiz,47.06,126,chrome,tablet
1.1.102.9,03/10/2026,,/,34.06,203,chrome,desktop
200.23.67.239,23/03/2027,,/vestibular/ENEM,47.97,155,chrome,mobile
189.170.170.91,23/05/2026,,/,84.41,222,chrome,tablet
200.108.52.197,08/12/2025,joao.rodrigues43@bol.com.br,/quiz,29.15,76,safari,desktop
177.140.177.207,12/10/2027,,/cursos,54.82,157,chrome,desktop
189.10.54.147,04/02/2026,,/quiz,35.24,186,chrome,desktop
200.49.243.118,10/09/2026,,/instituicoes,85.96,227,share,desktop
189.115.163.65,10/07/2026,,/,8.52,141,chrome,desktop
177.85.105.131,26/01/2025,,/cursos,39.85,144,opera,mobile
1.1.8.203,01/02/2026,ana.souza70@outlook.com,/,42.13,264,safari,mobile
189.90.16.216,19/06/2026,rafael.ferreira52@ig.com.br,/,46.83,271,share,mobile
8.8.170.46,18/08/2025,joaoalves@terra.com.br,/vestibular/ENEM,14.47,237,linkedin,desktop
177.188.65.229,11/08/2027,,/cursos,0.52,162,safari,mobile
1.1.173.8,11/09/2026,,/quiz,82.7,271,duckduckgo,mobile
8.8.170.65,14/07/2026,,/cursos,36.69,202,chrome,tablet
8.8.56.200,18/02/2027,,/,93.59,261,safari,desktop
177.42.129.14,22/03/2025,,/quiz,10.44,231,firefox,desktop
189.96.162.183,11/07/2027,,/,15.53,158,firefox,mobile
200.53.94.119,26/07/2027,,/vestibular/ENEM,50.5,197,safari,tv
8.8.198.165,25/03/2026,,/cursos,47.37,193,tiktok,desktop
1.1.176.113,06/04/2026,,/vestibular/ENEM,71.99,45,x,mobile
177.98.250.129,27/05/2027,beatrizlima@fatec.sp.gov.br,/instituicoes,27.22,190,chrome,desktop
8.8.236.71,06/07/2027,pedrogomes@bol.com.br,/,59.15,237,safari,mobile
200.17.225.195,14/09/2025,a.ferreira@icloud.com,/,43.51,185,brave,mobile
177.103.222.129,22/03/2027,beatriz.oliveira30@ig.com.br,/instituicoes,32.18,227,chrome,desktop
189.126.252.52,25/07/2026,,/quiz,67.83,204,firefox,mobile
177.10.238.149,03/03/2027,,/vestibular/FUVEST,40.26,160,safari,tablet
8.8.131.28,04/11/2027,,/,92.93,220,chrome,tablet
200.3.40.116,15/03/2026,,/cursos,57.39,163,opera,mobile
1.1.104.141,24/10/2027,,/instituicoes,94.37,124,lp,desktop
189.188.109.171,24/02/2025,,/vestibular/FATEC,20.11,108,lp,mobile
200.119.135.130,27/10/2025,,/vestibular/ENEM,34.42,154,lp,tablet
189.105.66.16,11/03/2027,,/vestibular/FATEC,17.47,186,chrome,tablet
200.138.179.64,26/04/2026,,/vestibular/UNICAMP,13.82,118,firefox,desktop
177.147.231.36,10/05/2026,larissa.silva23@live.com,/cursos,82.99,180,firefox,desktop
177.35.177.241,26/09/2026,,/vestibular/FUVEST,34.82,145,chrome,mobile
177.8.175.209,02/04/2027,a.gomes@yahoo.com,/quiz,0.09,239,chrome,desktop
177.152.181.147,30/08/2025,,/instituicoes,4.09,158,safari,mobile
189.1.129.34,12/08/2025,,/,61.77,220,chrome,desktop
189.228.115.9,11/01/2027,lucas.lima4@outlook.com,/cursos,81.56,155,opera,mobile
189.64.202.126,03/10/2027,,/quiz,3.83,156,tiktok,mobile
189.61.135.64,25/04/2027,,/,93.86,145,opera,mobile
1.1.17.173,13/06/2027,pedrolima@usp.br,/cursos,38.81,199,safari,mobile
8.8.47.27,07/07/2025,,/cursos,48.71,174,chrome,mobile
177.128.238.171,28/01/2027,r.santos@live.com,/vestibular/FUVEST,27.66,138,safari,tablet
8.8.110.146,24/02/2025,,/quiz,77.12,201,firefox,desktop
200.197.37.123,03/09/2027,,/vestibular/ENEM,39.13,354,safari,mobile
8.8.218.114,28/12/2025,,/quiz,83.99,224,safari,mobile
8.8.92.121,16/12/2026,,/cursos,13.1,216,firefox,mobile
1.1.238.166,23/11/2027,anasilva@ig.com.br,/cursos,6.55,214,firefox,desktop
177.59.85.166,14/03/2025,,/vestibular/UNICAMP,70.21,166,chrome,desktop
200.215.107.11,27/11/2025,,/vestibular/ENEM,93.55,147,firefox,mobile
177.236.242.10,10/05/2025,,/instituicoes,30.41,321,firefox,tablet
8.8.152.145,26/11/2026,,/vestibular/FUVEST,71.78,76,lp,tablet
8.8.135.234,02/11/2027,,/cursos,3.84,193,firefox,tablet
177.152.202.234,06/09/2027,,/instituicoes,46.44,155,firefox,tablet
8.8.155.219,25/04/2026,,/,16.3,230,duckduckgo,desktop
177.47.107.209,25/11/2027,,/cursos,65.75,170,chrome,desktop
1.1.47.102,25/08/2025,,/vestibular/ENEM,65.39,87,lp,mobile
200.86.145.141,14/02/2025,,/instituicoes,96.06,70,ig,mobile
189.137.129.196,10/06/2025,,/quiz,93.52,270,share,tv
1.1.83.11,11/11/2025,carlossilva@usp.br,/instituicoes,95.9,123,safari,desktop
1.1.8.91,23/01/2027,,/instituicoes,36.42,247,lp,mobile
200.170.75.54,16/10/2025,,/vestibular/ENEM,74.46,143,chrome,desktop
177.151.237.110,30/09/2027,,/instituicoes,8.25,179,chrome,desktop
1.1.173.17,25/06/2025,lucasoliveira@usp.br,/vestibular/ENEM,6.98,167,duckduckgo,desktop
1.1.39.107,16/05/2025,,/instituicoes,54.4,240,duckduckgo,mobile
177.8.58.92,13/09/2027,,/,46.38,201,firefox,desktop
177.213.96.126,20/06/2027,anaalves@yahoo.com,/,12.87,134,firefox,mobile
1.1.241.248,15/10/2027,,/,71.55,185,firefox,tablet
8.8.201.58,03/06/2027,beatrizpereira@bol.com.br,/,80.84,159,chrome,desktop
177.82.18.186,25/02/2026,,/quiz,68.0,180,chrome,desktop
189.145.232.37,22/09/2026,,/instituicoes,42.35,213,chrome,desktop
200.225.34.51,24/12/2025,,/instituicoes,91.35,270,chrome,tablet
8.8.175.74,23/02/2025,j.silva@gmail.com,/cursos,65.05,224,safari,desktop
1.1.253.78,12/11/2026,j.rodrigues@usp.br,/vestibular/ENEM,48.29,227,safari,tv
177.136.181.61,18/12/2026,,/vestibular/ENEM,57.25,107,chrome,mobile
189.171.11.36,26/06/2025,mariagomes@usp.br,/,71.66,123,chrome,desktop
177.58.157.88,02/01/2026,c.silva@icloud.com,/instituicoes,91.98,17,share,tablet
8.8.7.47,29/12/2027,,/,44.62,75,opera,mobile
189.125.36.0,22/10/2027,carlos.gomes@fatec.sp.gov.br,/vestibular/FUVEST,29.65,241,chrome,desktop
1.1.71.156,14/04/2025,,/vestibular/FUVEST,14.86,124,firefox,mobile
189.42.232.66,29/08/2027,,/instituicoes,45.52,190,opera,desktop
1.1.153.70,29/06/2026,pedropereira@edu.br,/vestibular/FATEC,52.12,227,safari,desktop
177.14.245.168,29/07/2026,,/vestibular/FATEC,34.95,184,chrome,mobile
200.142.178.41,20/12/2025,,/instituicoes,18.12,54,firefox,mobile
189.60.187.87,03/09/2025,pedrosilva@bol.com.br,/cursos,70.56,255,chrome,desktop
189.108.5.160,01/04/2026,,/cursos,76.8,253,chrome,mobile
8.8.147.114,13/08/2027,pedro.rodrigues@edu.br,/instituicoes,29.49,149,safari,mobile
8.8.122.116,24/02/2027,,/cursos,13.55,225,chrome,tablet
189.59.42.7,28/06/2026,lucas.gomes@hotmail.com,/vestibular/FUVEST,70.44,194,safari,desktop
8.8.189.252,07/02/2027,,/cursos,95.02,135,firefox,mobile
177.80.247.31,14/10/2025,pedrogomes@fatec.sp.gov.br,/cursos,76.66,203,brave,desktop
189.180.208.174,22/07/2025,,/vestibular/UNICAMP,72.48,172,lp,tablet
8.8.254.247,29/08/2027,larissa.alves56@hotmail.com,/quiz,13.7,191,safari,desktop
177.252.232.31,10/04/2026,,/vestibular/ENEM,92.62,237,chrome,mobile
200.184.52.157,30/08/2027,,/vestibular/FATEC,32.39,188,lp,desktop
1.1.15.144,01/11/2027,,/cursos,87.21,66,ig,mobile
189.105.200.25,13/12/2027,,/,12.01,235,lp,desktop
1.1.117.182,24/10/2025,,/instituicoes,73.19,94,firefox,desktop
8.8.187.175,21/10/2025,,/,40.82,246,firefox,mobile
189.221.111.28,14/02/2026,lucasferreira@icloud.com,/cursos,13.45,232,firefox,desktop
1.1.58.126,19/09/2025,,/vestibular/ENEM,11.58,277,firefox,tablet
177.94.43.126,23/06/2026,pedro.alves54@fatec.sp.gov.br,/,34.44,199,firefox,mobile
1.1.213.235,05/02/2027,,/vestibular/FUVEST,81.9,111,share,mobile
200.14.48.134,06/12/2025,maria.gomes@ig.com.br,/cursos,10.13,141,opera,desktop
189.246.140.1,10/03/2026,,/quiz,6.19,83,linkedin,desktop
1.1.125.33,07/07/2025,,/,13.61,153,firefox,mobile
200.39.199.134,06/07/2025,,/cursos,53.2,253,safari,mobile
8.8.244.106,02/01/2026,beatriz.ferreira@terra.com.br,/,96.45,207,chrome,desktop
8.8.16.10,28/09/2027,,/,50.18,237,lp,mobile
8.8.66.147,27/12/2027,,/,61.82,59,firefox,desktop
177.228.47.36,31/07/2026,j.ferreira@fatec.sp.gov.br,/quiz,8.78,151,firefox,desktop
177.102.72.51,20/08/2027,,/cursos,68.59,166,x,mobile
8.8.174.235,01/03/2025,,/cursos,41.61,202,chrome,desktop
200.180.15.208,13/07/2025,carlosalves@protonmail.com,/cursos,25.83,76,safari,desktop
189.242.229.241,20/07/2025,,/vestibular/FUVEST,55.62,155,chrome,desktop
200.13.177.193,03/05/2025,,/instituicoes,47.48,32,chrome,mobile
177.88.31.180,24/06/2027,beatrizoliveira@outlook.com,/vestibular/ENEM,7.56,150,linkedin,desktop
189.79.115.239,16/05/2026,,/quiz,74.73,142,chrome,mobile
189.209.34.171,11/10/2025,,/vestibular/FUVEST,46.14,170,tiktok,mobile
8.8.246.60,18/02/2027,,/,80.95,116,duckduckgo,tablet
189.143.39.142,11/08/2025,,/vestibular/ENEM,20.45,113,chrome,desktop
8.8.51.183,30/10/2026,anasouza@outlook.com,/instituicoes,57.06,255,tiktok,tablet
189.227.50.142,06/04/2027,,/,4.86,98,linkedin,mobile
8.8.49.38,04/08/2026,,/cursos,84.27,286,chrome,mobile
189.166.109.28,15/05/2027,,/,52.54,153,firefox,mobile
189.121.7.129,23/06/2027,,/vestibular/FATEC,24.72,296,chrome,tablet
177.138.115.30,04/01/2027,,/cursos,89.92,202,lp,desktop
177.14.207.182,19/03/2025,,/vestibular/FUVEST,4.17,177,lp,desktop
1.1.74.172,13/08/2025,,/cursos,32.08,140,chrome,mobile
177.109.102.119,23/12/2025,,/cursos,66.56,180,chrome,mobile
8.8.168.223,03/07/2026,,/,54.75,180,ig,mobile
189.107.6.51,26/03/2025,ana.gomes72@icloud.com,/quiz,73.21,108,lp,desktop
8.8.36.246,19/05/2027,joaosantos@protonmail.com,/instituicoes,6.78,160,opera,tablet
200.64.32.124,30/04/2027,,/cursos,89.71,195,share,tablet
177.27.122.109,19/06/2026,,/cursos,61.92,203,firefox,mobile
177.10.139.0,31/03/2025,beatrizlima@fatec.sp.gov.br,/quiz,34.73,132,firefox,desktop
1.1.84.212,12/09/2026,,/vestibular/ENEM,89.76,282,opera,desktop
1.1.160.51,08/02/2025,larissa.silva3@edu.br,/,11.32,297,chrome,desktop
177.174.243.96,05/08/2026,,/,92.32,186,chrome,desktop
177.130.232.110,05/10/2026,,/vestibular/FUVEST,32.46,289,tiktok,mobile
177.194.57.49,13/07/2026,rafael.oliveira@usp.br,/quiz,95.45,178,safari,desktop
200.43.109.234,27/12/2025,,/vestibular/ENEM,39.07,141,firefox,desktop
8.8.14.83,18/08/2027,,/,49.55,179,chrome,mobile
8.8.55.244,25/05/2025,,/,31.49,150,lp,mobile
177.178.191.5,07/01/2026,j.santos@gmail.com,/,8.32,119,share,desktop
1.1.93.86,23/12/2027,,/cursos,23.75,228,firefox,desktop
200.196.70.54,24/05/2025,,/,68.05,167,opera,mobile
200.195.164.200,08/07/2027,,/,70.87,272,chrome,mobile
189.206.34.65,15/05/2026,,/vestibular/ENEM,64.76,140,linkedin,desktop
8.8.21.72,11/10/2025,carlos.gomes66@uol.com.br,/quiz,15.39,156,opera,desktop
200.200.106.51,29/04/2027,,/cursos,53.95,188,firefox,mobile
1.1.182.150,01/06/2026,,/vestibular/FATEC,73.68,225,share,desktop
1.1.58.56,11/11/2025,julia.alves@gmail.com,/instituicoes,82.45,134,safari,desktop
200.152.116.111,13/10/2026,,/quiz,87.01,187,chrome,mobile
189.155.147.150,20/06/2026,joao.lima43@icloud.com,/cursos,55.0,69,safari,mobile
1.1.40.33,22/08/2027,,/instituicoes,72.14,181,firefox,mobile
1.1.22.10,10/08/2026,,/,19.98,144,chrome,desktop
8.8.43.138,08/02/2026,,/vestibular/FATEC,52.08,131,x,mobile
177.121.216.56,22/12/2027,,/vestibular/FUVEST,37.67,187,opera,mobile
189.62.134.165,27/12/2027,,/cursos,10.02,186,linkedin,mobile
177.46.28.16,23/11/2027,lucas.rodrigues@fatec.sp.gov.br,/vestibular/ENEM,92.61,200,share,desktop
189.128.3.131,16/03/2025,pedrolima@bol.com.br,/,81.44,240,safari,mobile
1.1.249.170,16/04/2026,a.ferreira@hotmail.com,/vestibular/ENEM,86.33,193,firefox,desktop
177.243.145.141,20/02/2026,,/,48.19,38,chrome,desktop
177.160.207.241,25/07/2027,,/instituicoes,85.7,280,safari,mobile
8.8.105.99,22/11/2027,,/cursos,11.79,128,chrome,desktop
8.8.59.171,06/02/2027,,/vestibular/ENEM,51.07,109,safari,mobile
1.1.83.240,19/09/2026,p.souza@hotmail.com,/,24.42,255,chrome,tablet
189.173.37.131,22/01/2026,lucaspereira@protonmail.com,/,75.91,182,tiktok,mobile
